id,year,person_id,name_zh,name_en,election_type,cacode,constituency_id,age,camp,candidate_number,nominated_at,nominate_status,votes,is_won,fb_id,ig_id,occupation_zh,occupation_en,political_affiliation_zh,political_affiliation_en,electoral_message_zh,electoral_message_en,email_or_website
1,1999,2108,李萬權,,ordinary,A01,1,38,建制,,,,546,FALSE,n/a,n/a,電訊工程經理,,民建聯,,,,
2,1999,2181,阮品強,YUEN BUN KEUNG,ordinary,A01,1,56,民主,,,,1179,TRUE,n/a,n/a,中學教師,,民主黨,,,,
3,1999,2183,王敏賢,,ordinary,A02,2,54,建制,,,,851,FALSE,n/a,n/a,大學高級講師,,港進聯,,,,
4,1999,2109,郭家麒,KWOK KA KI,ordinary,A02,2,38,民主,,,,1074,TRUE,drkwokkaki,dr.kwok_ka_ki,醫生,,,,,,
5,1999,2158,蘇麗仙,,ordinary,A03,3,36,建制,,,,402,FALSE,n/a,n/a,保險營業經理,,民建聯,,,,
6,1999,2250,鄭麗琼,CHENG LAI KING,ordinary,A03,3,40,民主,,,,1014,TRUE,2125828711010749,n/a,社區工作主任,,民主黨,,,,
7,1999,2270,田北俊,,ordinary,A04,4,52,建制,,,,774,TRUE,tienjames,n/a,公司主席,,自由黨,,,,
8,1999,2182,梁永安,LEUNG WING ON LOUIS,ordinary,A04,4,39,建制,,,,412,FALSE,n/a,n/a,執業會計師,,,,,,
9,1999,2228,陳捷貴,CHAN CHIT KWAI,ordinary,A05,5,50,建制,,,,,TRUE,StephenChanChitKwai,n/a,大學宿舍經理,,,,,,
10,1999,2106,楊位款,YEUNG WAI FOON,ordinary,A06,6,43,建制,,,,1217,TRUE,n/a,n/a,銀行副經理,,民建聯,,,,
11,1999,2184,陳國樑,,ordinary,A06,6,33,民主,,,,1079,FALSE,n/a,n/a,市政局議員,,民主黨,,,,
12,1999,2272,莫佩嫺,,ordinary,A07,7,26,民主,,,,1141,FALSE,n/a,n/a,社區工作主任,,,,,,
13,1999,2180,葉國謙,IP KWOK HIM,ordinary,A07,7,48,建制,,,,1552,TRUE,n/a,n/a,校長助理,,民建聯,,,,
14,1999,2157,陳特楚,CHAN TAK CHOR,ordinary,A08,8,54,建制,,,,,TRUE,n/a,n/a,行政董事,,自由黨,,,,
15,1999,2110,林其盛,LAM KEE SHING,ordinary,A09,9,29,民主,,,,1157,FALSE,n/a,n/a,專業保險顧問,,民主黨,,,,
16,1999,2226,黃哲民,WONG CHIT MAN,ordinary,A09,9,41,建制,,,,1262,TRUE,n/a,n/a,銀行副經理,,民建聯,,,,
17,1999,2227,陳財喜,CHAN CHOI HI,ordinary,A10,10,43,其他,,,,1309,TRUE,ChanChoiHi,chanchoihi,董事,,,,,,
18,1999,2271,黃澤禮,,ordinary,A10,10,26,民主,,,,762,FALSE,n/a,n/a,會計秘書,,民主黨,,,,
19,1999,2252,李躍進,,ordinary,A10,10,41,建制,,,,632,FALSE,n/a,n/a,公司東主,,民建聯,,,,
20,1999,2253,黎國雄,LAI KWOK HUNG,ordinary,A11,11,41,其他,,,,1248,TRUE,n/a,n/a,教育行政人員,,,,,,
21,1999,2358,陳耀強,CHAN YIU KEUNG,ordinary,A11,11,48,建制,,,,1243,FALSE,n/a,n/a,行政人員,,民建聯,,,,
22,1999,2249,袁照興,,ordinary,A12,12,46,建制,,,,688,FALSE,n/a,n/a,行政人員,,民建聯,,,,
23,1999,2159,甘乃威,KAM NAI WAI,ordinary,A12,12,39,民主,,,,1468,TRUE,kamnaiwaidphk,,社區工作主任,,民主黨,,,,
24,1999,2273,鄭志強,,ordinary,A13,13,31,建制,,,,487,FALSE,n/a,n/a,議員助理,,民建聯,,,,
25,1999,2107,何俊麒,HO CHUN KI,ordinary,A13,13,42,民主,,,,898,TRUE,n/a,n/a,見習律師,,民主黨,,,,
26,1999,2289,唐偉源,TONG WAI YUEN,ordinary,A14,14,36,建制,,,,739,FALSE,n/a,n/a,行政人員,,民建聯,,,,
27,1999,2187,梁耀祖,LEUNG YIU CHO HENRY,ordinary,A14,14,26,民主,,,,1063,TRUE,n/a,n/a,見習律師,,民主黨,,,,
28,1999,2160,戴卓賢,TAI CHEUK YIN LESLIE SPENCER,ordinary,A15,15,38,民主,,,,1096,TRUE,n/a,n/a,文化出版,,一二三,,,,
29,1999,2255,溫祖堯,,ordinary,A15,15,40,民主,,,,983,FALSE,n/a,n/a,印刷商人,,民主黨,,,,
30,1999,2186,黃漢清,,ordinary,B01,16,46,建制,,,,,TRUE,n/a,n/a,成本工程師,,華革會,,,,
31,1999,2185,鄭琴淵,TANG KING YUNG ANNA,ordinary,B02,17,53,建制,,,,,TRUE,n/a,n/a,全職議員,,民建聯,,,,
32,1999,2229,孫啟昌,SUEN KAI CHEONG,ordinary,B03,18,45,建制,,,,,TRUE,n/a,n/a,社團活動中心總幹事,,民建聯,,,,
33,1999,2161,李兆富,,ordinary,B04,19,23,建制,,,,289,FALSE,n/a,n/a,議員助理,,自由黨,,,,
34,1999,2251,謝永齡,TSE WING LING JOHN,ordinary,B04,19,45,民主,,,,783,TRUE,n/a,n/a,大學副教授,,民主黨,,,,
35,1999,2288,李均頤,LEE KWUN YEE KENNY,ordinary,B04,19,30,建制,,,,630,FALSE,154020705543931,,公司常務董事,,民建聯,,,,
