District,Electoral Size,Aggregate Voter Turnout,Aggregate Voter Turnout Rate(%)
Central & Western,"110,483","77,277",69.94
Wan Chai,"74,839","50,846",67.94
Eastern,"323,725","233,287",72.06
Southern,"151,994","107,946",71.02
Yau Tsim Mong,"129,150","89,115",69
Sham Shui Po,"204,046","145,980",71.54
Kowloon City,"201,858","144,498",71.58
Wong Tai Sin,"264,040","185,753",70.35
Kwun Tong,"396,345","281,603",71.05
Tsuen Wan,"169,773","124,843",73.54
Tuen Mun,"296,282","209,969",70.87
Yuen Long,"349,322","244,227",69.91
North,"186,496","129,962",69.69
Tai Po,"187,494","134,901",71.95
Sai Kung,"274,293","200,016",72.92
Sha Tin,"419,853","307,850",73.32
Kwai Tsing,"308,771","218,909",70.9
Islands,"84,213","56,860",67.52
